New Alliance Party , Workers' League, Christian People's Party , Libertarian Party , People's Party , United Democratic Party , Progressive Democratic Party , National Party , United Left , National Democratic Party 
123, 96, 101, 82, 91, 98, 102, 85, 114, 108
113, 119, 97, 139, 74, 76, 136, 59, 80, 107
152, 83, 64, 116, 162, 74, 82, 99, 84, 84
151, 55, 66, 75, 83, 76, 84, 121, 143, 146
125, 71, 66, 78, 56, 117, 82, 119, 142, 144
173, 32, 45, 31, 28, 113, 177, 102, 141, 158
152, 52, 45, 63, 45, 106, 194, 128, 115, 100
158, 56, 60, 49, 46, 93, 187, 129, 110, 112
142, 60, 55, 63, 52, 118, 173, 129, 109, 99
138, 46, 111, 53, 128, 100, 148, 95, 94, 87
